Date,Close
2017-05-30,2303.3401
2017-05-31,2412.6499
2017-06-01,2492.6001
2017-06-02,2545.4299
2017-06-03,2524.0601
2017-06-04,2704.96
2017-06-05,2870.5
2017-06-06,2691.51
2017-06-07,2798.78
2017-06-08,2811.4299
2017-06-09,2900.25
2017-06-10,2973.45
2017-06-11,2656.77
2017-06-12,2712.99
2017-06-13,2467.27
2017-06-14,2442.46
2017-06-15,2508.5801
2017-06-16,2655.1001
2017-06-17,2539.5601
2017-06-18,2616.8201
2017-06-19,2754.3799
2017-06-20,2677.6201
2017-06-21,2722.8401
2017-06-22,2710.3701
2017-06-23,2590.05
2017-06-24,2541.6201
2017-06-25,2446.05
2017-06-26,2583.75
2017-06-27,2577.74
2017-06-28,2558.3701
2017-06-29,2480.6101
2017-06-30,2424.6101
2017-07-01,2536.46
2017-07-02,2572.47
2017-07-03,2617.3201
2017-07-04,2627.8601
2017-07-05,2614.24
2017-07-06,2513.8799
2017-07-07,2564.8601
2017-07-08,2511.4299
2017-07-09,2344.02
2017-07-10,2324.29
2017-07-11,2403.0901
2017-07-12,2362.4399
2017-07-13,2234.1699
2017-07-14,1975.08
2017-07-15,1914.09
2017-07-16,2233.3899
2017-07-17,2320.23
2017-07-18,2282.5801
2017-07-19,2866.02
2017-07-20,2675.0801
2017-07-21,2836.53
2017-07-22,2756.6101
2017-07-23,2763.4199
2017-07-24,2582.5801
2017-07-25,2559.21
2017-07-26,2691.8799
2017-07-27,2806.75
2017-07-28,2733.5
2017-07-29,2766.49
2017-07-30,2883.27
2017-07-31,2746.99
2017-08-01,2720.53
2017-08-02,2809.99
2017-08-03,2878.49
2017-08-04,3262.8
2017-08-05,3232.03
2017-08-06,3401.9099
2017-08-07,3429.3799
2017-08-08,3348.79
2017-08-09,3425.6699
2017-08-10,3654.3701
2017-08-11,3871.6201
2017-08-12,4062.6001
2017-08-13,4327.9399
2017-08-14,4161.6602
2017-08-15,4387.3999
2017-08-16,4278.9199
